clean_names,name,sflag,AphiaID,HAB,warning_level,italic
Chaetoceros_diadema,Chaetoceros diadema,,149128,FALSE,,TRUE
Chaetoceros_spp_chain,Chaetoceros,spp.,148985,FALSE,,TRUE
Chaetoceros_spp_single,Chaetoceros,spp.,148985,FALSE,,TRUE
Chaetoceros_tenuissimus-like,Chaetoceros,spp.,148985,FALSE,,TRUE
Chlorococcales,Chlorococcales,,17111,FALSE,,FALSE
Chroococcales,Chroococcales,,146543,FALSE,,FALSE
Chroococcus_spp,Chroococcus,spp.,146565,FALSE,,TRUE
Chrysochromulina_lanceolata,Chrysochromulina lanceolata,,388470,FALSE,,TRUE
Chrysochromulina_parkeae,Chrysochromulina parkeae,,115126,FALSE,,TRUE
Ciliophora,Ciliophora,,11,FALSE,,FALSE
Cocconeis-like,Cocconeidaceae,,148988,FALSE,,FALSE
Cochlodinium-like,Gymnodiniaceae,,109410,FALSE,,FALSE
Corethron,Corethron,spp.,149109,FALSE,,TRUE
Coscinodiscus_spp,Coscinodiscus,spp.,148917,FALSE,,TRUE
Cryptomonadales,Cryptomonadales,,17640,FALSE,,FALSE
Cryptophyta,Cryptophyta,,17638,FALSE,,FALSE
Cyclotella_spp,Cyclotella,spp.,148905,FALSE,,TRUE
Cylindrotheca_closterium_Nitzschia_longissima,Bacillariaceae,,149002,FALSE,,FALSE
Cymbomonas_tetramitiformis,Cymbomonas tetramitiformis,,134545,FALSE,,TRUE
Dactyliosolen_fragilissimus,Dactyliosolen fragilissimus,,149310,FALSE,,TRUE
Debris,,,NA,FALSE,,FALSE
Diatoma_tenuis-like_chain,Diatoma,sp.,149013,FALSE,,TRUE
Diatoma_tenuis-like_single_cell,Diatoma,sp.,149013,FALSE,,TRUE
Dictyocha_fibula,Dictyocha fibula,,157463,FALSE,,TRUE
Dictyochales,Dictyochales,,157256,FALSE,,FALSE
Dictyochales_transformation,Dictyochales,,157256,FALSE,,FALSE
Dinobryon_spp,Dinobryon,spp.,157240,FALSE,,TRUE
Dinophyceae,Dinophyceae,,19542,FALSE,,FALSE
Dinophyceae_larger_than_30,Dinophyceae,,19542,FALSE,,FALSE
Dinophyceae_pair,Dinophyceae,,19542,FALSE,,FALSE
Dinophyceae_smaller_than_30,Dinophyceae,,19542,FALSE,,FALSE
Dinophysis_acuminata,Dinophysis acuminata,,109603,TRUE,1500,TRUE
Dinophysis_acuta,Dinophysis acuta,,109604,TRUE,200,TRUE
