depth,sample
13,D20160909T233531_IFCB110
13,D20161011T222549_IFCB110
13,D20160828T223425_IFCB110
13,D20160904T030704_IFCB110
13,D20161006T014129_IFCB110
13,D20160815T163422_IFCB110
13,D20160904T052854_IFCB110
13,D20160831T065017_IFCB110
13,D20160902T153819_IFCB110
13,D20160829T144443_IFCB110
13,D20160826T220413_IFCB110
13,D20160911T092615_IFCB110
13,D20160903T103254_IFCB110
13,D20160823T233038_IFCB110
13,D20161016T072206_IFCB110
13,D20160902T012558_IFCB110
13,D20161006T062514_IFCB110
13,D20161009T094249_IFCB110
13,D20161006T181906_IFCB110
13,D20161017T135332_IFCB110
13,D20160826T015828_IFCB110
13,D20160930T201341_IFCB110
13,D20160824T235644_IFCB110
13,D20160828T104518_IFCB110
13,D20161011T174210_IFCB110
13,D20160928T173922_IFCB110
13,D20160926T141904_IFCB110
13,D20160911T070425_IFCB110
13,D20160812T130602_IFCB110
13,D20160826T015828_IFCB110
13,D20160828T082328_IFCB110
13,D20160904T075043_IFCB110
13,D20160821T101439_IFCB110
13,D20161011T152020_IFCB110
13,D20160901T040811_IFCB110
13,D20161001T005731_IFCB110
13,D20160913T205817_IFCB110
13,D20160910T213541_IFCB110
13,D20160906T145919_IFCB110
13,D20160830T212254_IFCB110
13,D20161007T005552_IFCB110
13,D20160910T233353_IFCB110
13,D20161013T170339_IFCB110
13,D20161010T021651_IFCB110
13,D20160901T133652_IFCB110
13,D20161003T070446_IFCB110
13,D20161002T000451_IFCB110
13,D20161007T221224_IFCB110
13,D20160822T024848_IFCB110
13,D20160825T092402_IFCB110
13,D20161014T045321_IFCB110
13,D20160830T054420_IFCB110
13,D20160928T200111_IFCB110
13,D20160906T172109_IFCB110
13,D20161016T094356_IFCB110
13,D20161004T233941_IFCB110
13,D20160928T200111_IFCB110
13,D20160820T174034_IFCB110
13,D20161014T071511_IFCB110
13,D20161014T164356_IFCB110
13,D20160930T201341_IFCB110
13,D20160911T114805_IFCB110
13,D20161010T184941_IFCB110
13,D20160911T185335_IFCB110
13,D20160830T080609_IFCB110
13,D20160912T121508_IFCB110
13,D20161006T181906_IFCB110
13,D20160902T202158_IFCB110
13,D20160927T195216_IFCB110
13,D20160829T005600_IFCB110
13,D20160908T000938_IFCB110
13,D20161002T093222_IFCB110
13,D20160831T232432_IFCB110
13,D20161009T164822_IFCB110
13,D20160829T144443_IFCB110
13,D20161014T164356_IFCB110
13,D20160813T150740_IFCB110
13,D20160913T113055_IFCB110
13,D20160813T102344_IFCB110
13,D20160906T123725_IFCB110
13,D20160830T212254_IFCB110
13,D20160830T234443_IFCB110
13,D20160927T135736_IFCB110
13,D20160906T053156_IFCB110
13,D20160825T162946_IFCB110
